haskell-call-stack 0.4.0-103
haskell-case-insensitive 1.2.1.0-162
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.8.0.1-1
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-128
haskell-commonmark 0.2.2-13
haskell-commonmark-extensions 0.2.3.2-11
haskell-commonmark-pandoc 0.2.1.2-78
haskell-comonad 5.0.8-161
haskell-conduit 1.3.4.2-85
haskell-conduit-extra 1.3.6-26
haskell-connection 0.3.1-215
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-30
haskell-data-default 0.7.1.1-246
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-259
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-61
haskell-dbus 1.2.22-98
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-164
haskell-dlist 1.0-181
haskell-doclayout 0.4-10
haskell-doctemplates 0.10.0.2-17
haskell-emojis 0.1.2-33
haskell-erf 2.0.0.0-24
haskell-extensible-exceptions 0.1.1.4-36
haskell-file-embed 0.0.15.0-1
haskell-free 5.1.9-22
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-49
haskell-gridtables 0.0.3.0-5
haskell-haddock-library 1.10.0-169
haskell-hashable 1.4.1.0-12
haskell-hinotify 0.4.1-130
haskell-hourglass 0.2.12-205
haskell-hslua 2.2.1-3
haskell-hslua-aeson 2.2.1-4
haskell-hslua-classes 2.2.0-23
haskell-hslua-core 2.2.1-17
haskell-hslua-marshalling 2.2.1-11
haskell-hslua-module-doclayout 1.0.4-53
haskell-hslua-module-path 1.0.3-12
haskell-hslua-module-system 1.0.2-11
haskell-hslua-module-text 1.0.2-13
haskell-hslua-module-version 1.0.3-9
haskell-hslua-objectorientation 2.2.1-7
haskell-hslua-packaging 2.2.1-3
haskell-hsyaml 0.2.1.1-17
haskell-http 4000.4.1-44
haskell-http-client 0.7.13.1-10
haskell-http-client-tls 0.3.6.1-54
haskell-http-conduit 2.3.8-240
haskell-http-types 0.12.3-265
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1.1-11
haskell-integer-logarithms 1.0.3.1-6
haskell-invariant 0.6-19
haskell-iproute 1.7.12-37
haskell-ipynb 0.2-47
haskell-jira-wiki-markup 1.4.0-72
haskell-juicypixels 3.3.7-29
haskell-kan-extensions 5.2.5-23
haskell-lens 5.1.1-38
haskell-lexer 1.1-11
haskell-libmpd 0.10.0.0-108
haskell-libyaml 0.1.2-249
haskell-lpeg 1.0.3-8
haskell-lua 2.2.1-9
haskell-memory 0.17.0-26
haskell-mime-types 0.1.0.9-14
haskell-monad-loops 0.4.3-25
haskell-mono-traversable 1.0.15.3-82
haskell-netlink 1.1.1.0-14
haskell-network 3.1.2.7-37
haskell-network-uri 2.6.4.1-95
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-34
haskell-pandoc-lua-marshal 0.1.7-10
haskell-pandoc-types 1.22.2.1-8
haskell-parallel 3.2.2.0-17
haskell-parsec-numbers 0.1.0-18
haskell-pem 0.2.4-243
haskell-pretty-hex 1.1-9
haskell-pretty-show 1.10-13
haskell-primitive 0.7.4.0-29
haskell-profunctors 5.6.2-104
haskell-quickcheck 2.14.2-352
haskell-random 1.2.1.1-50
haskell-reflection 2.1.6-155
haskell-regex-base 0.94.0.2-2
haskell-regex-compat 0.95.2.1-6
haskell-regex-posix 0.96.0.1-3
haskell-resourcet 1.2.6-9
haskell-safe 0.3.19-8
haskell-safe-exceptions 0.1.7.3-17
haskell-scientific 0.3.7.0-72
haskell-semigroupoids 5.3.7-62
haskell-setlocale 1.0.0.10-4
haskell-sha 1.6.4.4-19
haskell-skylighting 0.13-1
haskell-skylighting-core 0.13-1
haskell-skylighting-format-ansi 0.1-1
haskell-skylighting-format-blaze-html 0.1-1
haskell-skylighting-format-latex 0.1-1
haskell-socks 0.6.1-191
haskell-split 0.2.3.5-5
haskell-splitmix 0.1.0.4-94
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.4-33
haskell-strict 0.4.0.1-133
haskell-syb 0.7.2.1-163
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-185
haskell-temporary 1.3-455
haskell-texmath 0.12.5.2-14
haskell-text-conversions 0.3.1.1-20
haskell-text-icu 0.8.0.2-7
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-2
haskell-th-lift 0.8.2-13
haskell-th-lift-instances 0.1.20-4
haskell-these 1.1.1.1-160
haskell-time-compat 1.9.6.1-56
haskell-timezone-olson 0.2.1-1
haskell-timezone-series 0.1.13-1
haskell-tls 1.6.0-13
haskell-transformers-base 0.4.6-61
haskell-transformers-compat 0.7.2-1
haskell-typed-process 0.2.10.1-13
haskell-unicode-collation 0.1.3.2-22
haskell-unicode-data 0.3.0-26
haskell-unicode-transforms 0.4.0.1-26
haskell-uniplate 1.6.13-151
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-35
haskell-utf8-string 1.0.2-109
haskell-uuid-types 1.0.5-76
haskell-vector 0.12.3.1-122
haskell-vector-algorithms 0.9.0.1-7
haskell-void 0.7.3-162
haskell-x11 1.10.3-1
haskell-x11-xft 0.3.4-27
haskell-x509 1.7.7-16
haskell-x509-store 1.6.9-41
haskell-x509-system 1.6.7-44
haskell-x509-validation 1.6.12-46
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-140
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-57
haskell-zip-archive 0.4.2.1-29
haskell-zlib 0.6.3.0-19
hdparm 9.65-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hitori 3.38.4-1
http-parser 2.9.4-1
hwdata 0.362-2
hwloc 2.8.0-1
hyphen 2.8.8-4
i3lock-color 2.13.c.4-1
iagno 3.38.1-1
iana-etc 20220715-1
icu 71.1-1
ijs 0.35-4
imagemagick 7.1.0.48-1
imath 3.1.5-3
imlib2 1.9.1-1
iniparser 4.1-4
inkscape 1.2.1-6
intel-ucode 20220809-1
intltool 0.51.0-6
iproute2 5.19.0-1
iptables 1:1.8.8-2
iputils 20211215-1
ipython 8.5.0-1
iso-codes 4.11.0-2
iw 5.19-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.6-1
java-runtime-common 3-3
jbig2dec 0.19-1
jre-openjdk-headless 18.0.2.1.u0-1
js91 91.13.0-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
jsonrpc-glib 3.42.0-1
kaccounts-integration 22.08.1-1
kactivities 5.98.0-1
kactivities-stats 5.98.0-1
kactivitymanagerd 5.25.5-1
karchive 5.98.0-1
kauth 5.98.0-1
kbd 2.5.1-1
kbookmarks 5.98.0-1
kcmutils 5.98.0-1
kcodecs 5.98.0-1
kcompletion 5.98.0-1
kconfig 5.98.0-1
kconfigwidgets 5.98.0-1
kcoreaddons 5.98.0-1
kcrash 5.98.0-1
kdbusaddons 5.98.0-1
kde-cli-tools 5.25.5-1
kde-gtk-config 5.25.5-1
kdeclarative 5.98.0-1
kdecoration 5.25.5-1
kded 5.98.0-1
kdelibs4support 5.98.0-1
kdeplasma-addons 5.25.5-1
kdesu 5.98.0-1
kdnssd 5.98.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.98.0-1
keyutils 1.6.3-1
kfilemetadata 5.98.0-1
kgamma5 5.25.5-1
kglobalaccel 5.98.0-1
kguiaddons 5.98.0-1
kholidays 1:5.98.0-1
khotkeys 5.25.5-1
ki18n 5.98.0-1
kiconthemes 5.98.0-1
kidletime 5.98.0-1
kinfocenter 5.25.5-1
kio 5.98.0-1
kio-extras 22.08.1-1
kio-fuse 5.0.1-1
kirigami2 5.98.0-1
kitemmodels 5.98.0-1
kitemviews 5.98.0-1
kjobwidgets 5.98.0-1
kmenuedit 5.25.5-1
kmod 30-1
knewstuff 5.98.0-1
knotifications 5.98.0-1
knotifyconfig 5.98.0-1
kpackage 5.98.0-1
kparts 5.98.0-1
kpeople 5.98.0-1
kpty 5.98.0-1
kquickcharts 5.98.0-1
krb5 1.19.3-3
krunner 5.98.0-1
kscreen 5.25.5-1
kscreenlocker 5.25.5-1
kservice 5.98.0-1
ksshaskpass 5.25.5-1
ksystemstats 5.25.5-1
ktexteditor 5.98.0-1
ktextwidgets 5.98.0-1
kunitconversion 5.98.0-1
kuserfeedback 1.2.0-1
kwallet 5.98.0-1
kwallet-pam 5.25.5-1
kwayland 5.98.0-1
kwayland-integration 5.25.5-1
kwidgetsaddons 5.98.0-1
kwin 5.25.5-2
kwindowsystem 5.98.0-1
kwrited 5.25.5-1
kxmlgui 5.98.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.10.1-1
layer-shell-qt 5.25.5-1
lcms2 2.13.1-1
ldb 2:2.6.1-1
ldns 1.8.3-1
lensfun 1:0.3.3-1
less 1:608-1
lib2geom 1.2-2
libaccounts-glib 1.26-1
libaccounts-qt 1.16-3
libadwaita 1:1.2.0-1
libaio 0.3.113-1
libao 1.2.2-5
libarchive 3.6.1-2
libass 0.16.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.10.1-2
libavtp 0.2.0-1
libblockdev 2.28-1
libbluray 1.3.2-1
libbpf 0.8.1-1
libbs2b 3.1.0-8
libbsd 0.11.6-2
libbytesize 2.7-1
libcaca 0.99.beta20-1
libcacard 2.7.0-2
libcanberra 1:0.30+r2+gc0620e4-1
libcap 2.65-1
libcap-ng 0.8.3-1
libcbor 0.9.0-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-4
libchamplain 0.12.20-3
libcheese 41.1-2
libcloudproviders 0.3.1-2
libcolord 1.4.6-1
libconfig 1.7.3-1
libcryptui 1:3.12.2+r69+g9c70a43b-1
libcue 2.2.1-2
libcups 1:2.4.2-3
libdaemon 0.14-5
libdatrie 0.2.13-1
libdazzle 3.44.0-1
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-2
libdmapsharing 2.9.41-2
libdmtx 0.7.7-1
libdrm 2.4.113-2
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libebml 1.4.2-2
libedit 20210910_3.1-1
libelf 0.187-2
libepoxy 1.5.10-1
libev 4.33-1
libevdev 1.13.0-1
libevent 2.1.12-2
